год,канал,резерв_мощности,заказано,поставлено,доступн_мощность
2035,A,110.0,105.0,105.0,190.0
2036,A,150.0,148.0,148.0,190.0
2037,A,190.0,188.0,188.0,190.0
2037,B,15.0,12.0,12.0,110.0
2038,A,190.0,190.0,190.0,190.0
2038,B,40.0,38.0,38.0,110.0
2038,D,40.0,38.0,38.0,120.0
2039,A,190.0,190.0,190.0,190.0
2039,B,60.0,58.0,58.0,110.0
2039,C,40.0,33.0,33.0,130.0
2039,D,70.0,68.0,68.0,120.0
2040,A,190.0,185.0,185.0,190.0
2040,B,90.0,80.0,80.0,110.0
2040,C,90.0,75.0,75.0,130.0
2040,D,90.0,82.0,82.0,120.0
